key,buy_high_min,buy_high_max,sector_high_min,sector_high_max,volume_z_min,fear_lookback,fear_threshold,volume_lookback,low_count_min,arm_window,exit_atr,max_positions,sectors,in_signals,in_median,in_mdd,in_calmar,out_median,out_mdd,out_calmar,win_pct
h13_zoff_f3_p8,1,3,2,2,,3,40.0,20,9,0,2.0,8,default54,782,27.16,-37.94,0.267,-7.5,-16.37,-0.385,49.62
h13_zoff_f3_p10,1,3,2,2,,3,40.0,20,9,0,2.0,10,default54,782,17.0,-37.4,0.174,-7.36,-16.5,-0.375,49.62
h13_zoff_f5_p5,1,3,2,2,,5,40.0,20,9,0,2.0,5,default54,977,8.28,-48.64,0.067,-8.16,-16.18,-0.425,48.93
h13_zoff_f5_p8,1,3,2,2,,5,40.0,20,9,0,2.0,8,default54,977,11.8,-44.94,0.102,-9.08,-15.99,-0.478,48.93
h13_zoff_f5_p10,1,3,2,2,,5,40.0,20,9,0,2.0,10,default54,977,5.89,-43.87,0.053,-8.76,-15.73,-0.469,48.93
h13_z0.0_f1_p5,1,3,2,2,0.0,1,40.0,20,9,0,2.0,5,default54,208,22.88,-38.31,0.225,-14.38,-28.11,-0.433,59.13
h13_z0.0_f1_p8,1,3,2,2,0.0,1,40.0,20,9,0,2.0,8,default54,208,15.94,-37.64,0.163,-9.31,-25.89,-0.303,59.13
h13_z0.0_f1_p10,1,3,2,2,0.0,1,40.0,20,9,0,2.0,10,default54,208,13.79,-36.2,0.147,-9.72,-26.32,-0.311,59.13
h13_z0.0_f3_p5,1,3,2,2,0.0,3,40.0,20,9,0,2.0,5,default54,677,21.77,-37.55,0.219,-15.74,-21.83,-0.611,52.29
h13_z0.0_f3_p8,1,3,2,2,0.0,3,40.0,20,9,0,2.0,8,default54,677,21.1,-34.99,0.228,-14.55,-20.09,-0.613,52.29
h13_z0.0_f3_p10,1,3,2,2,0.0,3,40.0,20,9,0,2.0,10,default54,677,18.57,-35.22,0.201,-14.87,-20.53,-0.613,52.29
h13_z0.0_f5_p5,1,3,2,2,0.0,5,40.0,20,9,0,2.0,5,default54,880,0.28,-40.96,0.003,-10.9,-18.65,-0.493,51.02
