seed,solo_total,solo_mdd,solo_calmar,solo_vol,sent_w50_total,sent_w50_mdd,sent_w50_calmar,sent_w50_vol,sent_w60_total,sent_w60_mdd,sent_w60_calmar,sent_w60_vol,tech_w50_total,tech_w50_mdd,tech_w50_calmar,tech_w50_vol,tech_w60_total,tech_w60_mdd,tech_w60_calmar,tech_w60_vol
24,146.68470502906055,-26.375828333170347,1.0517834170381926,27.874493992706196,90.20271804896176,-16.821966122349906,1.1321624506976544,17.1976874308368,101.47900981893687,-17.65249710287233,1.1850422604005046,19.004857802186383,84.6658307655979,-15.457161251798935,1.1706788379013904,17.18738416964232,96.5961888760942,-16.406935671717182,1.2261412312162225,19.129230113505518
25,58.87061770207303,-29.460520235940024,0.45397350722662283,27.014579852339693,52.433750021992424,-17.27171002482788,0.7011403559438658,16.77966391623496,54.53230756650562,-19.30330665779968,0.6489209561958336,18.490144256801276,47.97661128119093,-15.347726176359512,0.7304913820672945,16.772340680154432,50.766252187743575,-18.041628078205243,0.6527134659848641,18.620754164366428
26,160.18538775061143,-30.827260195659633,0.9602117130846243,28.027510980623365,95.12133783704361,-18.5887956115267,1.0690421379232558,17.49918547489315,107.8029535888053,-20.842549463488947,1.052488022970359,19.293877075253217,89.58142701531557,-16.64144292891804,1.1381002779345726,17.36228122316482,102.90928452918054,-19.331489853602356,1.094127490199742,19.306860148560844
27,115.24055838676345,-27.581608158754513,0.8376895909857428,25.033781798310685,75.85656109834564,-16.656411113222614,0.9930388575436236,16.650673647969054,83.83599128112012,-17.633892298177646,1.01799615493491,18.03812791667581,71.35560097526175,-16.830962399087422,0.9342304362069048,16.01953288150351,80.00315587762631,-18.98413398993195,0.9101956877608038,17.62561407183878
28,108.60906710102327,-33.861355019803895,0.6516164406349496,25.927764258761233,74.2612845406444,-20.704391305131363,0.7849950369276528,16.289615102285165,81.55427136782558,-23.322064501772587,0.7526116216837336,17.872422004241724,69.16284286182652,-18.863754760683705,0.8121692695755474,16.29238849991176,77.12711919624556,-21.910255402288982,0.7653119494921472,18.016468814064606
29,131.96296151360656,-24.41370236834427,1.049735879378415,26.496715024045,84.33293443939907,-13.673006157053946,1.3192129468776932,16.178447548540372,94.06773742738895,-15.28569517576377,1.28854755454912,17.875616988369224,78.61279628267664,-14.654850916909112,1.162273645307997,16.499934355599247,89.00610160423743,-16.684984287423845,1.1292577894075613,18.2949735315418
30,96.86847707975271,-22.641206931502822,0.8905138551258018,25.531660030734884,68.67931084267678,-13.284916363067001,1.1464947417220948,16.524819342270007,74.74514404340576,-14.281547060652844,1.1441536014754994,18.01074243842437,64.03937726257043,-13.79904243550949,1.0408576573576709,16.23114195298456,70.78004384091172,-15.621741482876095,0.9997905272661852,17.895107635537194
31,79.37791902687867,-25.778107320087795,0.6660177077349768,25.085685390667507,61.173003451390585,-15.08100362208461,0.9162179928922813,16.030292104720985,65.4170166337627,-16.76075381086758,0.87242365826581,17.49921550058464,56.72003605823046,-15.388455627101704,0.8419348414536715,15.741732181990193,61.643866417352356,-17.296714127973523,0.8040576422293223,17.392644062094508
32,64.07859886059177,-21.105910690464302,0.6808639104380522,26.547031432495366,54.67473030634245,-13.922984243170156,0.9017055500084351,16.590830925441352,57.316709186442516,-13.524409333756838,0.9665877037666671,18.243654368011054,50.0425056679213,-12.586513876928663,0.9240256373364856,16.723643427585525,53.37749767332534,-14.280083162866909,0.8611770006698309,18.497606659811193
33,116.97139643198197,-31.84449339622021,0.7339564847074911,25.303038030160955,76.87586086663455,-17.937375839169935,0.9323126807740245,16.571264227822528,85.03738949313524,-20.739317167739145,0.8756197451894271,18.012991689335056,72.13416718485826,-16.568371973052642,0.9576279967993553,16.151112071436014,80.96299809561782,-19.820318927653847,0.8803351827859378,17.786296961634687
