variant,label,signals,taken,win_pct,mean_pct,median_pct,beat_hold_pct,open_end,exposure_pct,total_pct,cagr_pct,vol_pct,mdd_pct,calmar,sharpe_like,rand_p10,rand_med,rand_p90
exit_anchor,+回撤锚点只取买入后红点（选股系统口径）,1535,52,54.65798045602605,10.550317517947503,1.725278477707115,38.697068403908794,518,96.42857142857143,107.10283720335471,21.824999254482247,24.94813523798522,-24.603002257038554,0.8870868289352142,0.8748148527450746,63.72562954545251,82.41075417028463,107.4879055086801
exit_nohigh9,+去掉「先出现高9」= 选股系统的跟踪止损,1535,82,47.94788273615635,8.229306894984056,-0.49268701888303124,46.05863192182411,311,96.42857142857143,56.18333226540777,12.851053783660959,23.804740692955622,-30.96470605653566,0.41502263125628835,0.5398527104083888,43.9438951139669,64.96353622130107,108.30334417516458
exit_atr15,+回撤阈值 1.5 ATR,1535,66,58.241042345276874,7.754373231979431,2.3352486255959093,41.43322475570032,417,95.98214285714286,28.505095270133495,7.037174852818939,20.91140102082721,-28.864718380675424,0.24379849337211068,0.3365233561256894,14.698027917153178,36.96895655197214,53.571358634369815
exit_atr25,+回撤阈值 2.5 ATR,1535,40,53.15960912052117,11.473585274204796,1.5500842844647256,35.43973941368078,618,96.42857142857143,24.419633508432838,6.103546750167621,20.479941699950704,-28.121441631219067,0.2170424557250208,0.29802559204464496,31.324122081379112,55.95978732912994,101.79019841387466
exit_atr30,+回撤阈值 3 ATR,1535,36,51.66123778501629,11.983631983105122,1.0445430359222518,31.596091205211724,729,96.42857142857143,34.88691919558986,8.453201673690081,20.98919000258931,-28.33137835680406,0.2983688815711983,0.40274072856776555,34.09877146315168,60.49141632037119,109.72194012440197
exit_lowge2,+低2及以上都算,1535,74,58.306188925081436,6.0837116732700744,2.3516502456826016,42.93159609120521,352,95.3125,11.075655552250874,2.8892334250081753,22.97548664134714,-31.6312175028687,0.09134120192326282,0.12575287175021807,-5.9260862207158755,14.468273812526867,38.61017362432446
exit_stop2atr,+初始止损 2 ATR（选股系统口径）,1535,132,38.43648208469055,8.704988219916018,-4.710165007754174,49.12052117263844,224,86.49553571428571,21.856769759964443,5.506407027487081,21.24541368302546,-36.519524745097755,0.15077981068815088,0.2591809747572277,14.753306162122293,31.323476697534947,50.26067029152106
exit_stop3atr,+初始止损 3 ATR,1535,105,43.843648208469055,9.196794998978103,-3.755599318655467,47.817589576547235,270,96.42857142857143,24.14175376246901,6.039237375041173,22.020658582635,-32.96607636211696,0.1831955161634333,0.2742532587015168,27.4693087920302,53.44583438987787,93.73321792624472
exit_poolrank200,+跌出综合排名 200 就走,1535,340,45.34201954397395,1.133316880360521,-0.17447420710758887,50.4885993485342,37,95.75892857142857,53.778752295615995,12.37726546518183,12.86926631675528,-15.717992389032887,0.7874584208233856,0.9617693161782749,17.535326720806022,37.34237258297615,59.382289737128445
exit_gatefail,+硬闸门转不过就走,1535,76,53.420195439739416,7.492354231345329,0.5604249101067715,44.23452768729641,356,96.42857142857143,46.7968362963461,10.97025586077578,20.72284739638145,-18.365280934551365,0.5973366756474159,0.5293797541881897,41.389609238815694,61.12468949990622,109.00905910112849
market_gate,+市场防守状态不开新仓,929,29,64.15500538213132,17.8703184259778,5.108154475707183,35.09149623250807,407,70.75892857142857,-13.042651584689635,-3.7185977605385223,15.01802900669404,-28.381955182291605,-0.13101978833574765,-0.24760890785874887,10.57675210334561,32.47595253819839,68.7793571354455
