index_code,trade_date,index_close,eligible_members,low9_share,high9_share,low7_9_share,high7_9_share,low9_weighted,high9_weighted,low7_9_weighted,high7_9_weighted,past20_return,forward_5d,forward_10d,forward_20d,metric,side,signed_forward_5d,signed_forward_10d,signed_forward_20d
H30217.CSI,2022-09-19,12678.893,76,0.02631578947368421,0.0,0.3157894736842105,0.0,0.012009879670900697,0.0,0.1750982496265394,0.0,-0.060175,-0.056927085,0.010456562,0.12473905,low7_9_weighted,low,-0.056927085,0.010456562,0.12473905
H30217.CSI,2022-12-21,13139.199,76,0.02631578947368421,0.0,0.23684210526315788,0.0,0.023409766325451727,0.0,0.1824381774375811,0.0,-0.053604186,0.025617003,0.048761964,0.10007405,low7_9_weighted,low,0.025617003,0.048761964,0.10007405
H30217.CSI,2023-06-08,12402.007,86,0.011627906976744186,0.011627906976744186,0.09302325581395349,0.011627906976744186,0.006360063383283322,0.00581005781111718,0.2137321419785084,0.00581005781111718,-0.041012943,0.017730355,-0.0111144185,-0.010683656,low7_9_weighted,low,0.017730355,-0.0111144185,-0.010683656
H30217.CSI,2023-08-08,11489.541,86,0.05813953488372093,0.0,0.27906976744186046,0.0,0.0831700017862387,0.0,0.3783000021327361,0.0,-0.06913841,-0.007895589,-0.035348892,-0.024754167,low7_9_weighted,low,-0.007895589,-0.035348892,-0.024754167
H30217.CSI,2023-08-25,10931.442,86,0.12790697674418605,0.0,0.313953488372093,0.0,0.07523000059830472,0.0,0.227630004161381,0.0,-0.11965418,0.030115128,0.008729458,0.04368496,low7_9_weighted,low,0.030115128,0.008729458,0.04368496
H30217.CSI,2023-10-23,10735.977,86,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.16234513301964582,0.0,-0.06671566,0.06850886,0.079818845,0.097081184,low7_9_weighted,low,0.06850886,0.079818845,0.097081184
H30217.CSI,2023-12-22,11275.829,86,0.08139534883720931,0.0,0.2441860465116279,0.0,0.05178844612462989,0.0,0.37032889020949744,0.0,-0.044686377,0.028972983,-0.01991254,-0.0897364,low7_9_weighted,low,0.028972983,-0.01991254,-0.0897364
H30217.CSI,2024-01-12,11055.99,95,0.021052631578947368,0.0,0.15789473684210525,0.0,0.02732054643891372,0.0,0.3187163720733678,0.0,-0.045532286,-0.030809283,-0.04737258,-0.03078407,low7_9_weighted,low,-0.030809283,-0.04737258,-0.03078407
H30217.CSI,2024-04-16,9851.118,95,0.021052631578947368,0.0,0.45263157894736844,0.0,0.015140453805085071,0.0,0.4169825030754498,0.0,-0.11225611,0.041133523,0.097141385,0.1052233,low7_9_weighted,low,0.041133523,0.097141385,0.1052233
H30217.CSI,2024-06-03,10361.132,95,0.010526315789473684,0.0,0.14736842105263157,0.010526315789473684,0.013869861055720923,0.0,0.3021469731525214,0.03523964717015322,-0.06543565,-0.0046330094,-0.033470392,-0.08433318,low7_9_weighted,low,-0.0046330094,-0.033470392,-0.08433318
H30217.CSI,2024-06-20,9851.469,95,0.0,0.0,0.07368421052631578,0.010526315789473684,0.0,0.0,0.2924070707051545,0.001549984524054493,-0.087462425,-0.014986455,-0.065362036,-0.02853626,low7_9_weighted,low,-0.014986455,-0.065362036,-0.02853626
H30217.CSI,2024-09-13,8570.215,97,0.0,0.010309278350515464,0.16494845360824742,0.020618556701030927,0.0,0.03787962225419153,0.3129368694396046,0.04027959819966639,-0.079086065,0.0074374676,0.41592443,0.21453536,low7_9_weighted,low,0.0074374676,0.41592443,0.21453536
H30217.CSI,2025-01-08,9453.42,98,0.01020408163265306,0.0,0.24489795918367346,0.01020408163265306,0.012400495996104325,0.0,0.22734909294596659,0.0027801111491336235,-0.10560274,-0.0026914477,-0.0052598715,0.04751563,low7_9_weighted,low,-0.0026914477,-0.0052598715,0.04751563
H30217.CSI,2025-09-22,10971.912,100,0.0,0.0,0.22,0.0,0.0,0.0,0.2197165911261212,0.0,-0.037758946,-0.0042163134,-0.01297152,-0.021182656,low7_9_weighted,low,-0.0042163134,-0.01297152,-0.021182656
H30217.CSI,2025-10-21,10802.046,100,0.03,0.01,0.21,0.03,0.040209596652937045,0.004229957759475116,0.3897460993300216,0.01280987202304488,-0.040744483,-0.005790353,-0.030358672,-0.029162705,low7_9_weighted,low,-0.005790353,-0.030358672,-0.029162705
H30217.CSI,2025-11-07,10515.827,100,0.0,0.0,0.12,0.04,0.0,0.0,0.29275536261461027,0.01796910138021583,-0.049498796,0.018842459,-0.044303656,-0.035146058,low7_9_weighted,low,0.018842459,-0.044303656,-0.035146058
H30217.CSI,2025-11-24,10132.624,100,0.01,0.01,0.17,0.01,0.026448677266310512,0.006419679185065107,0.3098445056169571,0.006419679185065107,-0.05776894,0.012441158,-0.001088202,-0.008829117,low7_9_weighted,low,0.012441158,-0.001088202,-0.008829117
H30217.CSI,2025-12-16,9838.579,100,0.05,0.0,0.11,0.0,0.02998059913615231,0.0,0.19062381435003523,0.0,-0.06183356,0.0115253925,0.004803896,0.111261845,low7_9_weighted,low,0.0115253925,0.004803896,0.111261845
H30217.CSI,2026-02-26,10262.257,103,0.0,0.0,0.0970873786407767,0.009708737864077669,0.0,0.0,0.2329746644192429,0.004320086510099574,-0.0312618,-0.040110648,-0.016669095,-0.08271766,low7_9_weighted,low,-0.040110648,-0.016669095,-0.08271766
H30217.CSI,2026-03-20,9699.034,103,0.0,0.0,0.1553398058252427,0.0,0.0,0.0,0.39246430145735545,0.0,-0.055742383,-0.0017471313,-0.009717345,0.004899144,low7_9_weighted,low,-0.0017471313,-0.009717345,0.004899144
H30217.CSI,2026-06-10,8520.715,101,0.04950495049504951,0.0,0.16831683168316833,0.0,0.034639307104071336,0.0,0.2503749941527896,0.0,-0.13439423,0.0031838417,-0.01981914,-0.019993007,low7_9_weighted,low,0.0031838417,-0.01981914,-0.019993007
