index_code,metric,side,events,mean_5d,mean_10d,mean_20d,positive_20d
399998.SZ,high7_9_weighted,high,32,0.003463203,0.0053365324,0.0066624507,0.5625
399998.SZ,high9_share,high,36,0.000324241,-0.0007038812,-0.0034235534,0.4722222222222222
399998.SZ,low7_9_share,low,26,0.013922847,0.02722322,0.049293235,0.6538461538461539
399998.SZ,low7_9_weighted,low,23,0.006810668,0.021137323,0.032017503,0.6521739130434783
399998.SZ,low9_share,low,29,0.0014163132,0.006750181,0.009858004,0.5862068965517241
930598.CSI,high7_9_share,high,21,-0.010736298,-0.03640465,-0.0376332,0.47619047619047616
930598.CSI,high7_9_weighted,high,24,-0.010208811,-0.009063725,-0.0065143704,0.625
930598.CSI,high9_share,high,36,-0.0121146785,-0.020925358,-0.017314604,0.4722222222222222
930598.CSI,low7_9_share,low,30,0.009913441,0.007101198,0.017143613,0.5333333333333333
930598.CSI,low7_9_weighted,low,28,0.010117923,0.009789835,0.02470325,0.5357142857142857
930598.CSI,low9_share,low,32,0.015196351,0.013751585,0.016639719,0.5
930606.CSI,high7_9_share,high,18,-0.0062818294,-0.016832719,-0.028278066,0.2777777777777778
930606.CSI,high7_9_weighted,high,20,-0.00890485,-0.019637177,-0.029285181,0.4
930606.CSI,high9_share,high,28,-0.005751859,0.00039208788,-0.0042880243,0.39285714285714285
930606.CSI,low7_9_share,low,25,-0.00020181894,0.012921086,0.014949429,0.56
930606.CSI,low7_9_weighted,low,24,-0.0012853518,0.0107433675,0.017268064,0.5416666666666666
930606.CSI,low9_share,low,28,-0.0015300129,0.004915993,0.0014040832,0.4642857142857143
930618.CSI,high7_9_share,high,20,-0.008476332,-0.008101612,-0.003283587,0.55
930618.CSI,high7_9_weighted,high,22,-0.0053273276,-0.0010991449,-0.0014818582,0.5
930618.CSI,high9_share,high,31,0.00075104734,0.007533835,-0.005064297,0.5161290322580645
930618.CSI,low7_9_share,low,30,0.0046604373,0.008561458,0.011357478,0.5333333333333333
930618.CSI,low7_9_weighted,low,28,0.0053274333,0.0053871977,0.01004702,0.5
930618.CSI,low9_share,low,38,0.0049328036,0.004839723,0.013864854,0.5789473684210527
930633.CSI,high7_9_share,high,23,0.010992223,0.024259917,0.026141882,0.5652173913043478
930633.CSI,high7_9_weighted,high,22,0.005670537,0.0179106,0.010709047,0.5
930633.CSI,high9_share,high,24,0.00028975555,0.024268558,0.021600068,0.5833333333333334
930633.CSI,low7_9_share,low,22,0.0012918576,-0.014881741,-0.0069340225,0.5
930633.CSI,low7_9_weighted,low,24,-0.00019782037,0.009560972,0.00477881,0.5833333333333334
930633.CSI,low9_share,low,26,-0.00892602,-0.010115413,-0.017977834,0.5384615384615384
930641.CSI,high7_9_share,high,19,-0.003539399,-0.006678349,-0.010475491,0.631578947368421
930641.CSI,high7_9_weighted,high,20,-0.007064986,-0.0051576346,-0.0052352073,0.6
930641.CSI,high9_share,high,28,0.0025361627,0.0012629883,0.010048886,0.6428571428571429
930641.CSI,low7_9_share,low,21,-0.00370488,0.011629465,0.013094133,0.5238095238095238
930641.CSI,low7_9_weighted,low,20,0.0005779475,0.01888961,0.015797239,0.45
930641.CSI,low9_share,low,30,0.0023721019,0.0030663987,0.0050156256,0.5
930651.CSI,high7_9_share,high,21,-0.013779183,-0.018511029,-0.010990444,0.5238095238095238
930651.CSI,high7_9_weighted,high,19,-0.027675258,-0.033739362,-0.028834412,0.42105263157894735
930651.CSI,high9_share,high,29,-0.020809855,-0.018845538,-0.012609459,0.4482758620689655
930651.CSI,low7_9_share,low,29,-0.018310037,-0.019504523,-0.0013269803,0.3793103448275862
930651.CSI,low7_9_weighted,low,28,-0.01294925,-0.011656259,-0.008629312,0.35714285714285715
930651.CSI,low9_share,low,32,-0.007262768,-0.011939792,-0.0037890691,0.34375
930707.CSI,high7_9_share,high,22,0.0021291971,-0.00295315,0.0056799594,0.6363636363636364
930707.CSI,high7_9_weighted,high,21,0.006467459,-0.0014025257,0.010185577,0.6666666666666666
930707.CSI,high9_share,high,26,0.007402936,0.013595925,0.018478457,0.6538461538461539
930707.CSI,low7_9_share,low,22,0.00552437,0.02169712,-0.0020362437,0.5454545454545454
930707.CSI,low7_9_weighted,low,21,0.0027705147,0.026379628,0.0015219422,0.5714285714285714
930707.CSI,low9_share,low,30,-0.0030968944,0.00053741137,0.0016323447,0.5333333333333333
930726.CSI,high7_9_share,high,19,0.009021722,0.008048259,0.014253397,0.5789473684210527
930726.CSI,high7_9_weighted,high,20,0.010911236,0.010599459,0.011786744,0.6
930726.CSI,high9_share,high,27,0.0006062168,-0.0035959438,0.0138181755,0.5925925925925926
930726.CSI,low7_9_share,low,32,0.0013467614,-0.0097983405,-0.011938788,0.3125
930726.CSI,low7_9_weighted,low,32,0.002942808,-0.0040508937,-0.005333578,0.34375
930726.CSI,low9_share,low,37,-0.0020843358,-0.0005590481,-0.0023174076,0.43243243243243246
930851.CSI,high7_9_share,high,23,-0.0076305657,-0.028470032,-0.030547868,0.43478260869565216
930851.CSI,high7_9_weighted,high,22,-0.031007236,-0.0230516,-0.025051456,0.4090909090909091
930851.CSI,high9_share,high,32,-0.021483056,-0.02623615,-0.04316064,0.4375
930851.CSI,low7_9_share,low,28,-0.005837928,-0.0015084893,0.0041069943,0.4642857142857143
930851.CSI,low7_9_weighted,low,24,-0.005550181,-0.00042087337,0.00093672174,0.4166666666666667
930851.CSI,low9_share,low,29,-0.014209918,-0.010476176,-0.014000903,0.3448275862068966
930901.CSI,high7_9_share,high,27,0.0021599685,-0.0026137764,-0.006714229,0.4444444444444444
930901.CSI,high7_9_weighted,high,24,-0.003538688,-0.0050824904,-0.0069357455,0.5
930901.CSI,high9_share,high,35,-0.0016166499,-0.014292441,-0.02963015,0.37142857142857144
930901.CSI,low7_9_share,low,27,-0.0008009363,0.00013403098,0.0018679389,0.3333333333333333
930901.CSI,low7_9_weighted,low,28,0.00086680695,0.008126416,0.021013737,0.35714285714285715
930901.CSI,low9_share,low,36,0.00031901564,0.0022832006,0.008550891,0.5
930997.CSI,high7_9_share,high,32,0.012306325,-0.017040512,-0.033200156,0.40625
930997.CSI,high7_9_weighted,high,28,0.0062139696,-0.022716118,-0.030855099,0.39285714285714285
930997.CSI,high9_share,high,39,-0.022206403,-0.03214874,-0.055874623,0.358974358974359
930997.CSI,low7_9_share,low,35,-0.0021158985,-0.0055157593,-0.014612085,0.37142857142857144
930997.CSI,low7_9_weighted,low,35,0.0034017477,0.0050680637,0.005009193,0.42857142857142855
930997.CSI,low9_share,low,43,-0.004435484,-0.005505904,0.0030699747,0.5813953488372093
931009.CSI,high7_9_share,high,17,-0.0019643658,-0.009338593,0.0049798805,0.7058823529411765
931009.CSI,high7_9_weighted,high,17,-0.0020026213,-0.00016690353,0.012649095,0.6470588235294118
931009.CSI,high9_share,high,17,-0.0024687822,0.008814005,0.020403417,0.7058823529411765
931009.CSI,low7_9_share,low,27,0.0009819181,-0.0029869874,-0.0074408166,0.5185185185185185
931009.CSI,low7_9_weighted,low,26,-0.006798673,0.0072733737,-0.007192293,0.46153846153846156
931009.CSI,low9_share,low,37,-0.0015572486,0.0035986095,-0.0031509593,0.40540540540540543
931151.CSI,high7_9_share,high,23,0.00019361921,-0.0020997394,-0.0197951,0.4782608695652174
931151.CSI,high7_9_weighted,high,22,-0.009099438,-0.010112836,-0.016994787,0.5
931151.CSI,high9_share,high,31,-0.0032601606,0.0024899226,0.0003776262,0.5161290322580645
931151.CSI,low7_9_share,low,28,-0.020178387,-0.014637174,-0.018840728,0.35714285714285715
931151.CSI,low7_9_weighted,low,26,-0.014841174,-0.022023983,-0.03074431,0.34615384615384615
931151.CSI,low9_share,low,35,-0.027561657,-0.020178387,-0.029552728,0.37142857142857144
931152.CSI,high7_9_share,high,21,0.018223438,0.0058468096,0.013644241,0.6190476190476191
931152.CSI,high7_9_weighted,high,23,0.014836493,0.005753393,0.019076413,0.6956521739130435
931152.CSI,high9_share,high,29,0.0016700708,-0.0053352695,0.0062127914,0.6206896551724138
931152.CSI,low7_9_share,low,27,0.005025307,-0.0070555694,-0.010901268,0.3333333333333333
931152.CSI,low7_9_weighted,low,26,-0.0010183018,-0.01372714,-0.0023571688,0.4230769230769231
931152.CSI,low9_share,low,35,-0.0046063527,-0.00024233376,0.0044916375,0.42857142857142855
931160.CSI,high7_9_share,high,29,-0.0075701824,-0.022504073,-0.031084698,0.4482758620689655
931160.CSI,high7_9_weighted,high,29,-0.007018957,-0.034551915,-0.04303854,0.41379310344827586
931160.CSI,high9_share,high,37,-0.024206458,-0.031448424,-0.056963548,0.40540540540540543
931160.CSI,low7_9_share,low,25,-0.011758437,-0.0028654195,-0.0010138631,0.48
931160.CSI,low7_9_weighted,low,24,-0.008215196,-0.016923346,0.008992429,0.5
931160.CSI,low9_share,low,28,-0.0012814531,-0.005304309,0.013805381,0.5357142857142857
931230.CSI,high7_9_share,high,19,-0.010863182,-0.01002397,-0.005871892,0.631578947368421
931230.CSI,high7_9_weighted,high,24,-0.008885503,-0.002515408,-0.01644434,0.625
931230.CSI,high9_share,high,26,-0.021589054,-0.015293813,-0.0139717115,0.46153846153846156
931230.CSI,low7_9_share,low,24,-0.0051316693,-0.011082117,-0.012184997,0.3333333333333333
931230.CSI,low7_9_weighted,low,22,-0.019787125,-0.022396691,-0.031266123,0.36363636363636365
931230.CSI,low9_share,low,32,-0.010409988,-0.006931899,-0.014261164,0.34375
