index_code,trade_date,index_close,eligible_members,low9_share,high9_share,low7_9_share,high7_9_share,low9_weighted,high9_weighted,low7_9_weighted,high7_9_weighted
930606.CSI,2026-07-22,889.7758,49,0.02040816326530612,0.0,0.02040816326530612,0.16326530612244897,0.01838018435241117,0.0,0.01838018435241117,0.27290272923346093
930606.CSI,2026-07-23,913.3669,49,0.0,0.08163265306122448,0.0,0.1836734693877551,0.0,0.11172111746917002,0.0,0.2996429968248649
930606.CSI,2026-07-24,887.6426,49,0.0,0.04081632653061224,0.02040816326530612,0.04081632653061224,0.0,0.12766127665425775,0.006120061072614432,0.12766127665425775
930606.CSI,2026-07-27,903.5585,49,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.04954049525707793
930606.CSI,2026-07-28,900.986,49,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.04954049525707793
930606.CSI,2026-07-29,922.5224,49,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.04954049525707793,0.005120051432360828,0.04954049525707793
930606.CSI,2026-07-30,924.8217,49,0.0,0.0,0.02040816326530612,0.02040816326530612,0.0,0.0,0.005120051432360828,0.034300343595035844
930606.CSI,2026-07-31,925.4656,49,0.0,0.0,0.0,0.12244897959183673,0.0,0.0,0.0,0.1025099995040208
930606.CSI,2026-08-03,938.8976,49,0.0,0.02040816326530612,0.0,0.14285714285714285,0.0,0.036710000333538655,0.0,0.09005999995220304
930606.CSI,2026-08-04,928.8131,49,0.0,0.08163265306122448,0.0,0.3469387755102041,0.0,0.04593999959241748,0.0,0.15346000020009876
930606.CSI,2026-08-05,931.3957,49,0.0,0.04081632653061224,0.0,0.22448979591836735,0.0,0.007410000026246906,0.0,0.08559000084129871
930606.CSI,2026-08-06,925.8914,49,0.0,0.14285714285714285,0.0,0.1836734693877551,0.0,0.06340000024789572,0.0,0.08005000000040233
930606.CSI,2026-08-07,923.9463,49,0.0,0.02040816326530612,0.0,0.061224489795918366,0.0,0.0030599999674022194,0.0,0.12920999869366584
930606.CSI,2026-08-10,932.4723,49,0.0,0.0,0.0,0.061224489795918366,0.0,0.0,0.0,0.131569998726961
930606.CSI,2026-08-11,918.8705,49,0.0,0.02040816326530612,0.0,0.061224489795918366,0.0,0.026180000515836483,0.0,0.04145000073884428
930606.CSI,2026-08-12,924.72,49,0.0,0.0,0.14285714285714285,0.04081632653061224,0.0,0.0,0.2885400008531153,0.019780000011342763
930606.CSI,2026-08-13,909.7041,49,0.0,0.0,0.20408163265306123,0.02040816326530612,0.0,0.0,0.33547000141671,0.012740000588887935
930606.CSI,2026-08-14,915.3455,49,0.14285714285714285,0.0,0.2653061224489796,0.02040816326530612,0.2885400008531153,0.0,0.39890000247070195,0.012740000588887935
930606.CSI,2026-08-17,922.7577,49,0.061224489795918366,0.02040816326530612,0.14285714285714285,0.02040816326530612,0.046930000563594705,0.012740000588887935,0.12978000208856466,0.012740000588887935
930606.CSI,2026-08-18,925.1684,49,0.061224489795918366,0.0,0.08163265306122448,0.0,0.06343000105399192,0.0,0.08285000152496995,0.0
930606.CSI,2026-08-19,908.8302,49,0.02040816326530612,0.0,0.061224489795918366,0.0,0.019420000470978024,0.0,0.1224499986488074,0.0
930606.CSI,2026-08-20,913.7753,49,0.0,0.0,0.04081632653061224,0.0,0.0,0.0,0.10302999817782937,0.0
930618.CSI,2020-01-02,2412.2483,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-01-03,2432.8528,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930618.CSI,2020-01-06,2403.2341,20,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.012319876684659555
930618.CSI,2020-01-07,2432.6943,20,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.18228818087290063
930618.CSI,2020-01-08,2389.7437,20,0.0,0.05,0.0,0.05,0.0,0.012319876684659555,0.0,0.012319876684659555
930618.CSI,2020-01-09,2414.802,20,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.012609874222201738
930618.CSI,2020-01-10,2408.7478,20,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.03649963580972705
930618.CSI,2020-01-13,2441.1084,20,0.0,0.05,0.0,0.1,0.0,0.012609874222201738,0.0,0.02482975200262212
930618.CSI,2020-01-14,2437.8572,20,0.0,0.05,0.0,0.05,0.0,0.012219877780420383,0.0,0.012219877780420383
930618.CSI,2020-01-15,2419.8096,20,0.0,0.0,0.05,0.0,0.0,0.0,0.013689862626400994,0.0
930618.CSI,2020-01-16,2388.6162,20,0.0,0.0,0.05,0.0,0.0,0.0,0.013689862626400994,0.0
930618.CSI,2020-01-17,2392.116,20,0.05,0.0,0.05,0.0,0.013689862626400994,0.0,0.013689862626400994,0.0
930618.CSI,2020-01-20,2424.821,20,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.012319876684659555
930618.CSI,2020-01-21,2362.3264,20,0.0,0.0,0.05,0.05,0.0,0.0,0.011669883807104934,0.012319876684659555
930618.CSI,2020-01-22,2358.427,20,0.0,0.0,0.05,0.0,0.0,0.0,0.011669883807104934,0.0
930618.CSI,2020-01-23,2285.4797,20,0.05,0.0,0.4,0.0,0.010429999940240383,0.0,0.3611599984770298,0.0
930618.CSI,2020-02-03,2090.5386,20,0.0,0.0,0.4,0.0,0.0,0.0,0.4754699996462226,0.0
930618.CSI,2020-02-04,2148.601,20,0.35,0.0,0.55,0.0,0.3507299985367894,0.0,0.5123900015491366,0.0
930618.CSI,2020-02-05,2149.93,20,0.05,0.0,0.25,0.0,0.12474000110943319,0.0,0.1734000033862591,0.0
930618.CSI,2020-02-06,2180.3977,20,0.15,0.0,0.3,0.0,0.03692000190291407,0.0,0.43756000034575465,0.0
930618.CSI,2020-02-07,2175.463,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
